,AUROC,dataset_name,data_type,flow_name,embedding_name,hidden_dim
40,0.9316419912220468,27_PageBlocks,features,planar,simple,32
33,0.8531570113197848,27_PageBlocks,latents,maf,none,32
9,0.9267366172354669,27_PageBlocks,features,real_nvp,simple,32
81,0.9307429135897654,27_PageBlocks,latents,planar,none,32
116,0.7376468420369224,28_pendigits,latents,glow,none,32
68,0.977644302376206,28_pendigits,features,maf,none,128
4,0.8797828685563269,28_pendigits,features,real_nvp,none,128
95,0.8611349801028085,28_pendigits,latents,real_nvp,none,32
97,0.9293611512110171,28_pendigits,features,planar,none,128
71,0.8390466151860253,28_pendigits,latents,planar,none,32
85,0.7945003933609832,28_pendigits,features,glow,none,128
53,0.8402868479946228,28_pendigits,latents,maf,none,32
80,0.8652278149163232,02_annthyroid,latents,planar,none,32
66,0.807836963471628,02_annthyroid,latents,maf,none,32
105,0.906801213829248,02_annthyroid,features,real_nvp,simple,64
21,0.6639902754320376,02_annthyroid,latents,glow,none,32
118,0.8066093126166549,02_annthyroid,features,planar,simple,64
114,0.8677533483685446,02_annthyroid,latents,real_nvp,none,32
108,0.6602063296217262,02_annthyroid,features,maf,simple,64
84,0.8683573413521127,02_annthyroid,features,glow,simple,64
3,0.9896372936406108,32_shuttle,latents,glow,none,32
51,0.9948735585084404,32_shuttle,latents,maf,none,32
63,0.9967706679096926,32_shuttle,latents,real_nvp,none,32
62,0.9961229146101273,32_shuttle,latents,planar,none,32
52,0.9925433223307316,32_shuttle,features,planar,simple,64
14,0.9985183731587582,32_shuttle,features,real_nvp,simple,64
48,0.9983810869094744,32_shuttle,features,glow,simple,64
38,0.9936559232590548,32_shuttle,features,maf,simple,64
101,0.793404579562764,33_skin,features,glow,simple,128
5,0.7575068886646569,33_skin,features,maf,simple,128
6,0.9203000490786002,33_skin,features,real_nvp,simple,128
54,0.4072819337017366,33_skin,features,planar,simple,128
11,0.7186354273598526,33_skin,latents,maf,none,32
89,0.633334515244396,33_skin,latents,planar,none,32
65,0.7184174304080193,33_skin,latents,glow,none,32
99,0.7934799230265046,33_skin,latents,real_nvp,none,32
111,0.8958784489343958,34_smtp,latents,planar,none,32
17,0.882046969282846,34_smtp,latents,maf,none,32
28,0.9384735333487516,34_smtp,features,glow,periodic,256
117,0.8921381465985465,34_smtp,features,real_nvp,periodic,256
49,0.3515029189355872,34_smtp,features,planar,periodic,256
67,0.8416929475993244,34_smtp,latents,glow,none,32
30,0.9335663576028986,34_smtp,features,maf,periodic,256
13,0.9040840569350126,34_smtp,latents,real_nvp,none,32
115,0.9751247270909872,38_thyroid,latents,real_nvp,none,32
119,0.9697703034075996,38_thyroid,latents,maf,none,32
87,0.947958041426638,38_thyroid,latents,glow,none,32
25,0.9791580811756352,38_thyroid,features,glow,none,128
10,0.982723800004092,38_thyroid,features,planar,none,128
20,0.978196506180092,38_thyroid,latents,planar,none,32
58,0.9868769856231384,38_thyroid,features,real_nvp,none,128
31,0.9821772512984184,38_thyroid,features,maf,none,128
34,0.6694736842105264,40_vowels,features,planar,none,128
98,0.8487482219061167,40_vowels,features,glow,none,128
56,0.3102844950213371,40_vowels,features,real_nvp,none,128
12,0.7441536273115221,40_vowels,latents,planar,none,32
77,0.7645092460881934,40_vowels,latents,real_nvp,none,32
79,0.7093883357041252,40_vowels,latents,maf,none,32
43,0.526628733997155,40_vowels,latents,glow,none,32
106,0.9849786628733997,40_vowels,features,maf,none,128
23,0.531939964211205,44_Wilt,features,maf,periodic,64
110,0.4905205751453814,44_Wilt,features,planar,periodic,64
26,0.5759232502639807,44_Wilt,latents,glow,none,32
90,0.6261512375110241,44_Wilt,latents,planar,none,32
35,0.5458533273514756,44_Wilt,latents,maf,none,32
100,0.5622849559122305,44_Wilt,latents,real_nvp,none,32
69,0.6900507832423829,44_Wilt,features,real_nvp,periodic,64
70,0.5606311314752046,44_Wilt,features,glow,periodic,64
103,0.5169934125921843,47_yeast,latents,maf,none,32
37,0.5133312741375099,47_yeast,features,glow,none,384
112,0.5152370396839336,47_yeast,latents,real_nvp,none,32
39,0.5320558243950103,47_yeast,latents,planar,none,32
8,0.5546423762312276,47_yeast,features,maf,none,384
1,0.4176291388321936,47_yeast,features,planar,none,384
29,0.4762162882389636,47_yeast,latents,glow,none,32
59,0.4131090021177416,47_yeast,features,real_nvp,none,384
